Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7
2018-10-06 14:00:00,-1,2.26e-14,0.211618257,0.01201716,4,67.2,0.273957,0.019323671,0.365217391,0.971409829,-0.022001632448328867,0.001656725237599699,0.002957262615647002,-0.0009921364048543792,2.3436339790492344e-05,-0.002443030209449114,0.03281653486959517
2018-10-06 15:00:00,1,2.99e-14,0.203319502,0.016247475,6,67.2,0.273957,0.028985507,0.365217391,0.971409829,-0.0180527758958883,0.0025943763763345493,0.0021705738665677614,-0.000680275778990517,-0.00011937032966291517,-0.0024595329294985566,0.03279447969113798
2018-10-06 16:00:00,2,8.82e-14,0.199170124,0.050275976,5,67.2,0.273957,0.024154589,0.365217391,0.971409829,0.018717526786753504,0.0008731753605708513,0.0010079697587938984,-0.000359847403980417,-0.0002596555534302078,-0.002475502527530608,0.032772309578822975
2018-10-06 17:00:00,5,2.06e-14,0.186721992,0.010846584,0,67.2,0.273957,0.0,0.365217391,0.971409829,-0.01520282424552458,-0.0034776133130616322,-0.000296816993944846,-3.8282212710259505e-05,-0.0003969673702539753,-0.0024909369425698876,0.03275002507806518
2018-10-06 18:00:00,4,6.11e-14,0.190871369,0.034455802,0,68.7,0.273957,0.0,0.373369565,0.971409829,0.011989324991514661,-0.006007803397481323,-0.0014936472577288947,0.0002769888619338065,-0.0005308538188768682,-0.0025058341136409484,0.03272762673427957
2018-10-06 19:00:00,0,5.16e-14,0.20746888,0.028898458,3,68.7,0.273957,0.014492754,0.373369565,0.971409829,0.004901554772771275,-0.0037260505410793964,-0.0023796412938287452,0.0005785348870656122,-0.0006608629380415085,-0.0025201919797683916,0.032705115092881154
2018-10-06 20:00:00,-4,2.93e-14,0.22406639,0.015941193,3,68.7,0.273957,0.014492754,0.373369565,0.971409829,-0.012149128546456354,0.0008104141081149681,-0.0029409569442752355,0.000858924929798994,-0.0007865427664905051,-0.0025340084799768056,0.032682490699284944
2018-10-06 21:00:00,-3,8.18e-14,0.219917012,0.046513136,2,68.7,0.273957,0.009661836,0.373369565,0.971409829,0.015163894989769167,0.004244493196623627,-0.0032110114462892522,0.0011107280572477966,-0.0009074413429664887,-0.002547281553290803,0.03265975409890595
2018-10-06 22:00:00,-3,2.77e-14,0.219917012,0.014960855,2,68.7,0.273957,0.009661836,0.373369565,0.971409829,-0.017845459964879948,0.005649233673233658,-0.0032243608642831614,0.0013276521637173241,-0.0010231067062120899,-0.0025600091387349396,0.032636905837159155
2018-10-06 23:00:00,-2,2.28e-14,0.215767635,0.01209986,2,68.7,0.273957,0.009661836,0.373369565,0.971409829,-0.02157113827733928,0.006274484007339885,-0.0030201165714351767,0.0015079604522787258,-0.0011330868949699217,-0.0025721891753338155,0.032613946459459586
2018-07-13 00:00:00,2,3.2e-14,0.199170124,0.017467103,7,75.8,0.274497,0.033816425,0.411956522,0.973324587,-0.017700867617281933,0.00738531747107469,-0.0026385287681149902,0.0016510549531946433,-0.0012369299479826137,-0.0025838196021120232,0.03259087651122223
2018-07-13 01:00:00,-3,1.05e-13,0.219917012,0.060169827,5,75.8,0.274497,0.024154589,0.411956522,0.973324587,0.023260899276046382,0.00863382340614304,-0.0021198476546922668,0.0017564199070745348,-0.0013342661143396354,-0.0025948983580941633,0.03256769653786211
2018-07-13 02:00:00,-9,2.96e-14,0.244813278,0.016086354,5,75.8,0.274497,0.024154589,0.411956522,0.973324587,-0.021934804858424636,0.00918768467607451,-0.001504323431536718,0.0018238683959152506,-0.0014250544845178126,-0.002605423382304813,0.03254440708479422
2018-07-13 03:00:00,-6,3.91e-14,0.232365145,0.02164484,7,75.8,0.274497,0.033816425,0.411956522,0.973324587,-0.01572806106922732,0.007954363684617521,-0.0008310380517748395,0.0018532957120604664,-0.0015093363593408214,-0.002615392613768559,0.032521008697433545
2018-07-13 04:00:00,-6,8.73e-14,0.232365145,0.049756221,9,75.8,0.274497,0.043478261,0.411956522,0.973324587,0.015742631011729714,0.004017848429924135,-0.00013440047956048465,0.001844650831320165,-0.00158720672309865,-0.0026248039915100115,0.03249750192119513
2018-07-13 05:00:00,-1,2.92e-14,0.211618257,0.015841213,9,75.8,0.274497,0.043478261,0.411956522,0.973324587,-0.012291150436368478,-0.0023993391481904832,0.0005523485681956867,0.001798097463369538,-0.001658975293946485,-0.002633655454553738,0.03247388730149396
2018-07-13 06:00:00,-3,6.25e-14,0.219917012,0.035304218,12,75.8,0.274497,0.057971014,0.411956522,0.973324587,0.011002933030561768,-0.006691751374809731,0.001195968374583002,0.0017138530013500815,-0.0017250054735058079,-0.0026419449419243382,0.032450165383745025
2018-07-13 07:00:00,-3,4.53e-14,0.219917012,0.025255265,9,75.8,0.274497,0.043478261,0.411956522,0.973324587,-0.0014054151321943936,-0.00468134546875662,0.0017588851052289015,0.0015921348384032997,-0.00178566066339814,-0.002649670392646395,0.03242633671336335
2018-07-13 08:00:00,-1,2.89e-14,0.211618257,0.015683541,7,75.8,0.274497,0.033816425,0.411956522,0.973324587,-0.01634679087155135,0.0005067112231928418,0.002186192455913345,0.0014331603676706885,-0.0018413042652449454,-0.0026568297457445133,0.03240240183576393
2018-07-13 09:00:00,-1,9.57e-14,0.211618257,0.054651799,6,75.8,0.274497,0.028985507,0.411956522,0.973324587,0.019146184532895672,0.004027175804405442,0.002417919285450873,0.0012378787017972334,-0.0018922996806677226,-0.0026634209402432605,0.03237836129636176
2018-07-13 10:00:00,4,4.22e-14,0.190871369,0.023432996,6,75.8,0.274497,0.028985507,0.411956522,0.973324587,-0.010632357060046073,0.002903543108667063,0.0024052091910020433,0.0010108373462603107,-0.00193901031128796,-0.0026694419151672612,0.03235421564057188
