Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7,imf_DNS_8
2021-11-07 12:00:00,-29,4.34e-13,0.32780083,0.25178869,0,91.2,0.276494,0.0,0.495652174,0.980405645,0.09922206197588197,0.033741841867654984,-0.007341974660058056,-0.005195691745109329,0.05969725639788692,-0.05413505065439378,-0.03239685943811807,0.15819710625625535
2021-11-07 13:00:00,-26,1.14e-13,0.315352697,0.065283491,0,91.2,0.276494,0.0,0.495652174,0.980405645,-0.09139206805347364,0.039024222173733074,-0.005686292794688328,-0.0067344079247805486,0.05879553510276711,-0.05540474805974766,-0.031987101479075096,0.15866835203526508
2021-11-07 14:00:00,-25,1.32e-13,0.31120332,0.075957839,2,91.2,0.276494,0.009661836,0.495652174,0.980405645,-0.075480875568807,0.03485045070742243,-0.004079431398128493,-0.008085377498680482,0.0578461488310243,-0.056658652935861295,-0.0315733625706066,0.15913893943363716
2021-11-07 15:00:00,-26,3.32e-13,0.315352697,0.192321482,5,91.2,0.276494,0.024154589,0.495652174,0.980405645,0.05976356910425247,0.01697476011313419,-0.002569727163314984,-0.00924822892143123,0.05684425803820411,-0.057896371298259475,-0.031155640216116078,0.159608862343531
2021-11-07 16:00:00,-27,1.03e-13,0.319502075,0.058865337,3,91.2,0.276494,0.014492754,0.495652174,0.980405645,-0.042057587222885676,-0.013692586871033946,-0.0011735950139097461,-0.010222590647654864,0.05578502317985212,-0.05911750916246674,-0.030733931919007505,0.16007811465710634
2021-11-07 17:00:00,-25,1.92e-13,0.31120332,0.110653268,0,91.2,0.276494,0.0,0.495652174,0.980405645,0.033655038938493836,-0.03666661718429001,9.255012642530973e-05,-0.011008091131973588,0.05466360471151408,-0.06032167254400792,-0.03030823518268424,0.16054669026652252
2021-11-07 18:00:00,-21,1.85e-13,0.294605809,0.106885739,3,80.6,0.276494,0.014492754,0.438043478,0.980405645,0.02645527290035333,-0.032289022679957216,0.0012211164248964474,-0.011604358829009611,0.05347516308873555,-0.0615084674584076,-0.02987854751055014,0.16101458306393923
2021-11-07 19:00:00,-19,7.9e-14,0.286307054,0.044907009,3,80.6,0.276494,0.014492754,0.438043478,0.980405645,-0.05692391139292047,-0.009972141207255203,0.0022398044121818873,-0.012011646261330437,0.05221548283500764,-0.06267749992119065,-0.029444866406008595,0.16148178694151583
2021-11-07 20:00:00,-18,3.48e-13,0.282157676,0.201755433,2,80.6,0.276494,0.009661836,0.438043478,0.980405645,0.07698186069901497,0.013825561597772344,0.0031851377098281123,-0.012233208249480942,0.05088335077179873,-0.06382837594788182,-0.029007189372463393,0.161948295791412
2021-11-07 21:00:00,-16,9.5e-14,0.273858921,0.054250768,0,80.6,0.276494,0.0,0.438043478,0.980405645,-0.08289580859062888,0.026959794506212748,0.004093639939381565,-0.012274947786735223,0.04948020189330636,-0.06496070155400555,-0.028565513913318213,0.1624141035057872
