Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7
2018-08-26 04:00:00,-140,1.76e-13,0.788381743,0.101713228,48,74.0,0.274229,0.231884058,0.402173913,0.9723743,0.04107720607180389,-0.02731683099111349,-0.006026628945113115,0.02180373010850637,0.018609815458408816,0.011641316130345868,0.04192462016716167
2018-08-26 05:00:00,-160,1.1e-13,0.871369295,0.062929722,56,74.0,0.274229,0.270531401,0.402173913,0.9723743,-0.01667753983831205,-0.022012559909537925,0.0016782704399794287,0.026272711957411793,0.019815430686826806,0.011922640995504892,0.04193076766812705
2018-08-26 06:00:00,-190,8.94e-14,0.995850622,0.050975458,80,74.0,0.274229,0.38647343,0.402173913,0.9723743,-0.056762929898104816,-0.006726863679442746,0.009104183704147173,0.030298130646920357,0.020932145746446293,0.012194431739272042,0.04193635974076171
2018-08-26 07:00:00,-191,3.28e-13,1.0,0.190130709,94,74.0,0.274229,0.45410628,0.402173913,0.9723743,0.053469133626510484,0.011061272619735787,0.015477121977370336,0.03377325601137898,0.021952178170247444,0.012456352680928399,0.04194139391382859
2018-08-26 08:00:00,-168,1.8e-13,0.904564315,0.104070612,111,74.0,0.274229,0.536231884,0.402173913,0.9723743,-0.044022214815682754,0.013956691193862857,0.020023096389629187,0.03659135788513459,0.022867745491210414,0.012708068139755025,0.04194586771609069
2018-08-26 09:00:00,-148,2.84e-13,0.821576763,0.164581784,132,74.0,0.274229,0.637681159,0.402173913,0.9723743,0.023273266294143048,0.0020169192429561394,0.02207580600670731,0.03864570610253423,0.023671065242315183,0.012949242435033138,0.04194977867631096
2018-08-26 10:00:00,-132,3.01e-13,0.755186722,0.174418106,132,74.0,0.274229,0.637681159,0.402173913,0.9723743,0.04142413169222253,-0.007722316993587106,0.021378447954076764,0.039850824181449675,0.024354354956541993,0.013179539886043774,0.04195312432325235
2018-08-26 11:00:00,-127,1.37e-13,0.734439834,0.078691738,179,74.0,0.274229,0.8647343,0.402173913,0.9723743,-0.05761380863216877,-0.0020762787442877273,0.017903299759655253,0.04021416645218438,0.02490983216687093,0.013398624812068043,0.04195590218567789
2018-08-26 12:00:00,-117,3.72e-13,0.692946058,0.215542808,132,74.0,0.274229,0.637681159,0.402173913,0.9723743,0.07741306183767985,0.005012641118603135,0.012427014070800727,0.03979534720164605,0.025330472446532658,0.013606161532387088,0.041958109792350484
2018-08-26 13:00:00,-94,6.89e-14,0.597510373,0.039002436,56,74.0,0.274229,0.270531401,0.402173913,0.9723743,-0.088287005816076,0.0013307237099809055,0.005926010903947391,0.0386573626932359,0.025613785470596673,0.013801814366282026,0.04195974467203312
2018-08-26 14:00:00,-74,1.4e-13,0.514522822,0.080448988,32,74.0,0.274229,0.154589372,0.402173913,0.9723743,-0.03323031783863389,-0.004237387201245357,-0.0006498490511312053,0.03685644338675848,0.025764046717729243,0.01398524763303394,0.041960804353488784
2018-08-26 15:00:00,-71,3.16e-13,0.502074689,0.182894512,56,74.0,0.274229,0.270531401,0.402173913,0.9723743,0.07858305544504895,-0.00568296193474181,-0.006357344936326361,0.03444731780118179,0.02578703360743305,0.014156125651923972,0.04196128636548041
2018-08-26 16:00:00,-85,1.48e-13,0.560165975,0.085200385,32,74.0,0.274229,0.154589372,0.402173913,0.9723743,-0.017065415208039746,-0.0008802225668561254,-0.010302516218793106,0.03148471445547378,0.02568845946155262,0.014314176839891574,0.041961188236771
2018-08-26 17:00:00,-82,8.24e-14,0.547717842,0.046891729,27,74.0,0.274229,0.130434783,0.402173913,0.9723743,-0.05648941310410049,0.005363101993343457,-0.01189899646977743,0.028023361868602374,0.02547376179760355,0.014459405418205007,0.041960507496123525
2018-08-26 18:00:00,-65,2.6e-13,0.477178423,0.150256437,27,73.1,0.274229,0.130434783,0.397282609,0.9723743,0.04786278253067208,0.007718250420094941,-0.011144735721334082,0.024120704357032126,0.025148236380661056,0.014591957360572932,0.04195924167230093
2018-08-26 19:00:00,-60,9.89e-14,0.456431535,0.056490743,67,73.1,0.274229,0.323671498,0.397282609,0.9723743,-0.040999294454318616,0.004796576314042882,-0.008543667969015794,0.019850583198720868,0.024717159562105136,0.01471199805439934,0.041957388294066186
2018-08-26 20:00:00,-74,1.81e-13,0.514522822,0.104392861,132,73.1,0.274229,0.637681159,0.397282609,0.9723743,0.014284426705057942,-0.001374923731517365,-0.0047887779992787805,0.015311690555152123,0.024185807693315416,0.014819692887088388,0.04195494489018228
2018-08-26 21:00:00,-77,1.98e-13,0.526970954,0.114289547,56,73.1,0.274229,0.270531401,0.397282609,0.9723743,0.03172674466282656,-0.007874921317815198,-0.0006116763844840139,0.010622826678344523,0.023559457125671823,0.014915207246044164,0.04195190898941216
2018-08-26 22:00:00,-73,8.07e-14,0.510373444,0.045912174,32,73.1,0.274229,0.154589372,0.397282609,0.9723743,-0.03126294199658767,-0.01177407097648036,0.003210675208866084,0.005948142914458332,0.022843384210554155,0.014998706518670656,0.041948278120518795
2018-08-26 23:00:00,-71,1.92e-13,0.502074689,0.110808308,32,73.1,0.274229,0.154589372,0.397282609,0.9723743,0.034650791823850086,-0.010269330177228121,0.005954994948601141,0.001414580200797464,0.022042865299342247,0.015070356092372008,0.04194404981226517
2018-08-27 00:00:00,-64,9.04e-14,0.473029046,0.051553875,67,73.1,0.273985,0.323671498,0.397282609,0.971509113,-0.02902544331732795,-0.001863406828995137,0.007073872162245736,-0.0028638667073051134,0.021163176743415942,0.015130321354552272,0.04193922159341425
2018-08-27 01:00:00,-61,7.26e-14,0.460580913,0.041157519,22,73.1,0.273985,0.106280193,0.397282609,0.971509113,-0.044295508367435364,0.008479522136370344,0.006436153217957736,-0.0067848015663922075,0.020209594894154945,0.015178767692615544,0.041933790992728995
2018-08-27 02:00:00,-63,2.19e-13,0.468879668,0.126786645,9,73.1,0.273985,0.043478261,0.397282609,0.971509113,0.04293709539072718,0.01366209253667498,0.004148667117230288,-0.01029222218050996,0.01918739610293926,0.015215860493965866,0.04192775553897238
2018-08-27 03:00:00,-59,6.16e-14,0.452282158,0.034775678,6,73.1,0.273985,0.028985507,0.397282609,0.971509113,-0.035607028250081295,0.00769656793430809,0.0007631285532901772,-0.013341724865580275,0.01810185672114855,0.015241765146007386,0.04192111276090737
2018-08-27 04:00:00,-60,8.83e-14,0.456431535,0.0503023,5,73.1,0.273985,0.024154589,0.397282609,0.971509113,-0.0016932566969498422,-0.0033905789777429213,-0.00285371871138599,-0.015888905937524997,0.016958253100162725,0.015256647036144082,0.04191386018729694
2018-08-27 05:00:00,-60,1.01e-13,0.456431535,0.057812102,9,73.1,0.273985,0.043478261,0.397282609,0.971509113,0.018346548844036706,-0.009793604647304348,-0.0057800089745120384,-0.017889361712266058,0.01576186159136158,0.015260670686390535,0.04190599621229362
2018-08-27 06:00:00,-63,4.36e-14,0.468879668,0.024271321,6,73.1,0.273985,0.028985507,0.397282609,0.971509113,-0.01579830538800866,-0.0050450580106181295,-0.007256105490583982,-0.019298688505725352,0.014517958546124943,0.015253996810282285,0.041897523038528894
2018-08-27 07:00:00,-67,1.1e-13,0.485477178,0.063085748,9,73.1,0.273985,0.043478261,0.397282609,0.971509113,0.016845748291511326,0.003126720377718242,-0.007165166517510351,-0.020078603457540985,0.013231820315832615,0.015236783868282693,0.04188844512170646
2018-08-27 08:00:00,-70,9.85e-14,0.497925311,0.056283564,12,73.1,0.273985,0.057971014,0.397282609,0.971509113,0.007789769546737806,0.005240516940345601,-0.005512790442697203,-0.020230612534635754,0.011908723251864445,0.015209189973934542,0.04187876726445056
2018-08-27 09:00:00,-65,4.55e-14,0.477178423,0.025385495,18,73.1,0.273985,0.086956522,0.397282609,0.971509113,-0.02120178568121038,0.0012437379867496555,-0.0024267038639792476,-0.019823679192672288,0.01055405824094615,0.015171373240780562,0.04186849426938555
2018-08-27 10:00:00,-53,1.18e-13,0.427385892,0.067847888,9,73.1,0.273985,0.043478261,0.397282609,0.971509113,0.024418993550581535,-0.005006159520089392,0.001222787497937793,-0.018942530561116378,0.009173674311187274,0.01512349178236344,0.04185763093913572
2018-08-27 11:00:00,-57,6.24e-14,0.443983402,0.035204188,15,73.1,0.273985,0.072463768,0.397282609,0.971509113,-0.008978938851878037,-0.007303364932537068,0.004473079274600345,-0.017672008304779736,0.0077735350260431275,0.015065703712225983,0.041846182076325386
