Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7
2019-01-30 00:00:00,3,3.77e-14,0.195020747,0.020792661,0,73.5,0.273934,0.0,0.399456522,0.971328275,0.0066282345111207015,0.0007702117008601177,0.004272315621809193,0.007468565531980055,-0.021445451089529374,-0.004019136864810492,2.6220153983916306e-06
2019-01-30 01:00:00,3,1.56e-14,0.195020747,0.007934602,2,73.5,0.273934,0.009661836,0.399456522,0.971328275,-0.004925058342330938,-0.001022933469674068,0.005178764754568833,0.006611954380013388,-0.021179079362518966,-0.003845521375055965,-7.325439964695618e-06
2019-01-30 02:00:00,3,3.5e-14,0.195020747,0.019231958,0,73.5,0.273934,0.0,0.399456522,0.971328275,0.0041783819421321155,0.000514499886953769,0.006193320540151648,0.005781002183255715,-0.02087868546457748,-0.0036718792428802245,-1.708833807468474e-05
2019-01-30 03:00:00,3,2.61e-14,0.195020747,0.014053272,2,73.5,0.273934,0.009661836,0.399456522,0.971328275,-0.003270283911890817,0.002148464133841191,0.0071289343524790815,0.004974837262964429,-0.02054486084452158,-0.0034982692982174807,-2.6665946310074073e-05
2019-01-30 04:00:00,2,2.83e-14,0.199170124,0.015324617,2,73.5,0.273934,0.009661836,0.399456522,0.971328275,-0.0011029585693074192,0.0007769722585291455,0.007847090329536194,0.004192587940396893,-0.020178196951167918,-0.0033247503710019406,-3.6057532049341146e-05
2019-01-30 05:00:00,0,3.42e-14,0.20746888,0.018797548,2,73.5,0.273934,0.009661836,0.399456522,0.971328275,0.004992939037188767,-0.0021777947475107072,0.008366102873163217,0.0034333825368104815,-0.019779285233333152,-0.003151381291167831,-4.526236267096695e-05
2019-01-30 06:00:00,2,1.02e-14,0.199170124,0.004798091,0,73.5,0.273934,0.0,0.399456522,0.971328275,-0.007230127285638666,-0.004198275198227609,0.008743493951164107,0.0026963493734625827,-0.019348717139833972,-0.00297822088864933,-5.427967847149509e-05
2019-01-30 07:00:00,3,4.08e-14,0.195020747,0.022646342,0,73.5,0.273934,0.0,0.399456522,0.971328275,0.009595706645224824,-0.003382454055282603,0.009031001802803711,0.0019806167716105603,-0.018887084119487002,-0.0028053279933806883,-6.3108611419678e-05
2019-01-30 08:00:00,1,4.59e-14,0.203319502,0.025583536,0,73.5,0.273934,0.0,0.399456522,0.971328275,0.009003531446911387,-4.926880029765008e-05,0.009257229753190158,0.0012853130525118015,-0.018394977621108918,-0.00263276143529609,-7.174826640234111e-05
2019-01-30 09:00:00,-1,1.55e-14,0.211618257,0.007882695,0,73.5,0.273934,0.0,0.399456522,0.971328275,-0.013257763256125814,0.004304114806323441,0.00944499739889243,0.0006096919633423997,-0.017873114519435115,-0.0024605800443297464,-8.0197748306296e-05
